City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,33.33,83,100,7.85,IS,Mon Oct 16 20:31:31 2023
1,brookings,44.3114,-96.7984,45.75,82,0,3.44,US,Mon Oct 16 20:31:32 2023
2,bethel,41.3712,-73.414,50.95,82,100,3.44,US,Mon Oct 16 20:27:49 2023
3,margaret river,-33.95,115.0667,71.89,57,100,12.55,AU,Mon Oct 16 20:31:32 2023
4,lebu,-37.6167,-73.65,49.51,86,0,20.38,CL,Mon Oct 16 20:31:33 2023
5,anadyr,64.75,177.4833,30.0,74,20,6.71,RU,Mon Oct 16 20:31:33 2023
6,klaksvik,62.2266,-6.589,47.32,83,85,15.95,FO,Mon Oct 16 20:31:33 2023
7,ibiruba,-28.6275,-53.0897,65.07,96,100,16.31,BR,Mon Oct 16 20:31:34 2023
8,grytviken,-54.2811,-36.5092,31.77,92,59,10.25,GS,Mon Oct 16 20:31:34 2023
9,cockburn town,21.4612,-71.1419,84.67,69,99,2.59,TC,Mon Oct 16 20:31:34 2023
10,puerto ayora,-0.7393,-90.3518,74.55,94,37,1.99,EC,Mon Oct 16 20:31:35 2023
11,buka,40.8108,69.1986,50.16,40,23,0.51,UZ,Mon Oct 16 20:31:35 2023
12,papatowai,-46.5619,169.4708,50.31,55,79,11.59,NZ,Mon Oct 16 20:31:35 2023
13,sirsi,14.6167,74.85,72.07,91,99,0.96,IN,Mon Oct 16 20:31:36 2023
14,nagqu,31.5,92.0,35.22,40,91,7.2,CN,Mon Oct 16 20:31:36 2023
15,ayame,5.6083,-3.1563,72.25,98,81,2.33,CI,Mon Oct 16 20:31:36 2023
16,port-aux-francais,-49.35,70.2167,37.15,87,94,28.36,TF,Mon Oct 16 20:31:37 2023
17,aberdeen,57.1437,-2.0981,38.68,87,10,2.3,GB,Mon Oct 16 20:28:47 2023
18,hermanus,-34.4187,19.2345,59.52,89,9,9.46,ZA,Mon Oct 16 20:31:37 2023
19,hobbs,32.7026,-103.136,64.85,32,0,8.05,US,Mon Oct 16 20:31:38 2023
20,peace river,56.2501,-117.286,55.71,62,75,5.75,CA,Mon Oct 16 20:31:38 2023
21,fisterra,42.9049,-9.2629,71.67,79,100,29.01,ES,Mon Oct 16 20:31:38 2023
22,college,64.8569,-147.8028,39.29,68,75,3.44,US,Mon Oct 16 20:31:39 2023
23,port elizabeth,-33.918,25.5701,61.32,92,40,11.5,ZA,Mon Oct 16 20:31:39 2023
24,ar ruways,24.1103,52.7306,81.75,71,0,7.87,AE,Mon Oct 16 20:31:39 2023
25,san patricio,28.017,-97.5169,66.33,43,0,7.18,US,Mon Oct 16 20:31:40 2023
26,glace bay,46.1969,-59.957,49.1,94,100,20.71,CA,Mon Oct 16 20:27:18 2023
27,vorgashor,67.5833,63.95,35.2,97,100,11.43,RU,Mon Oct 16 20:31:40 2023
28,la passe,45.5549,-0.8967,61.03,67,100,15.32,FR,Mon Oct 16 20:31:41 2023
29,badger,64.8,-147.5333,41.77,61,75,3.44,US,Mon Oct 16 20:31:41 2023
30,albany,42.6001,-73.9662,50.31,78,100,4.0,US,Mon Oct 16 20:27:19 2023
31,whitehorse,60.7161,-135.0538,38.17,100,100,2.3,CA,Mon Oct 16 20:31:42 2023
32,ancud,-41.8697,-73.8203,43.54,88,3,5.28,CL,Mon Oct 16 20:31:42 2023
33,howrah,22.5892,88.3103,78.8,89,4,0.0,IN,Mon Oct 16 20:31:42 2023
34,thompson,55.7435,-97.8558,48.36,81,75,2.3,CA,Mon Oct 16 20:31:43 2023
35,ilulissat,69.2167,-51.1,17.62,67,75,24.16,GL,Mon Oct 16 20:31:43 2023
36,zouerate,22.7187,-12.4521,82.36,28,61,5.3,MR,Mon Oct 16 20:31:43 2023
37,portland,45.5234,-122.6762,60.01,91,75,8.05,US,Mon Oct 16 20:23:10 2023
38,junagarh,19.8667,82.9333,73.35,68,2,1.43,IN,Mon Oct 16 20:31:44 2023
39,port hueneme,34.1478,-119.1951,70.2,74,0,4.61,US,Mon Oct 16 20:27:30 2023
40,ushuaia,-54.8,-68.3,41.43,70,75,15.01,AR,Mon Oct 16 20:27:25 2023
41,ribeira grande,38.5167,-28.7,66.78,87,100,3.0,PT,Mon Oct 16 20:31:45 2023
42,chur,46.8499,9.5329,42.31,74,57,5.21,CH,Mon Oct 16 20:31:45 2023
43,canutama,-6.5339,-64.3831,77.81,72,82,2.68,BR,Mon Oct 16 20:31:46 2023
44,waitangi,-43.9535,-176.5597,60.82,83,65,10.0,NZ,Mon Oct 16 20:31:46 2023
45,alamos,27.0167,-108.9333,83.95,44,3,3.06,MX,Mon Oct 16 20:31:46 2023
46,coahuayana de hidalgo,18.7,-103.6583,76.19,96,100,2.95,MX,Mon Oct 16 20:31:47 2023
47,vadso,70.0744,29.7487,33.96,86,75,16.11,NO,Mon Oct 16 20:31:47 2023
48,qatana,33.4354,36.0815,54.03,67,0,3.04,SY,Mon Oct 16 20:31:47 2023
49,utrik,11.2278,169.8474,83.14,74,24,16.53,MH,Mon Oct 16 20:31:48 2023
50,happy valley-goose bay,53.3168,-60.3315,35.91,69,40,11.5,CA,Mon Oct 16 20:28:13 2023
51,gbarnga,6.9956,-9.4722,70.34,100,99,1.43,LR,Mon Oct 16 20:31:48 2023
52,adamstown,-25.066,-130.1015,71.83,85,9,7.16,PN,Mon Oct 16 20:31:49 2023
53,iqaluit,63.7506,-68.5145,17.33,86,20,8.05,CA,Mon Oct 16 20:30:14 2023
54,ilek,51.5271,53.3831,46.27,59,22,15.32,RU,Mon Oct 16 20:31:49 2023
55,bredasdorp,-34.5322,20.0403,56.7,94,81,5.46,ZA,Mon Oct 16 20:31:50 2023
56,guarena,38.8595,-6.0999,68.11,78,100,12.77,ES,Mon Oct 16 20:31:50 2023
57,minas de marcona,-15.2119,-75.1103,58.39,85,81,8.68,PE,Mon Oct 16 20:31:51 2023
58,puerto natales,-51.7236,-72.4875,40.5,91,100,10.31,CL,Mon Oct 16 20:31:51 2023
59,luderitz,-26.6481,15.1594,65.89,47,0,8.21,NA,Mon Oct 16 20:31:51 2023
60,balikpapan,-1.2675,116.8289,85.19,74,20,8.05,ID,Mon Oct 16 20:31:52 2023
61,sarmiento,-45.5882,-69.07,52.02,47,17,12.55,AR,Mon Oct 16 20:31:52 2023
62,constantia,44.1833,28.65,38.08,58,10,3.91,RO,Mon Oct 16 20:31:52 2023
63,blackmans bay,-43.0167,147.3167,64.24,46,11,1.99,AU,Mon Oct 16 20:31:53 2023
64,angaur state,6.906,134.13,82.74,70,18,3.33,PW,Mon Oct 16 20:31:53 2023
65,olinda,-8.0089,-34.8553,78.53,73,40,13.8,BR,Mon Oct 16 20:31:53 2023
66,takoradi,4.8845,-1.7554,75.81,90,74,5.95,GH,Mon Oct 16 20:31:54 2023
67,edinburgh of the seven seas,-37.0676,-12.3116,53.47,72,55,9.44,SH,Mon Oct 16 20:31:54 2023
68,bilibino,68.0546,166.4372,12.96,95,99,3.76,RU,Mon Oct 16 20:31:55 2023
69,sterling,39.0062,-77.4286,53.94,73,75,9.22,US,Mon Oct 16 20:31:55 2023
70,al hazm,16.1641,44.7769,70.81,24,7,0.58,YE,Mon Oct 16 20:31:55 2023
71,pacific grove,36.6177,-121.9166,65.86,80,84,1.99,US,Mon Oct 16 20:31:56 2023
72,bubaque,11.2833,-15.8333,81.34,83,6,11.01,GW,Mon Oct 16 20:31:56 2023
73,kapuskasing,49.4169,-82.4331,33.8,100,0,0.0,CA,Mon Oct 16 20:31:56 2023
74,nogliki,51.8333,143.1667,48.34,84,100,7.0,RU,Mon Oct 16 20:31:57 2023
75,st. john's,47.5649,-52.7093,47.7,97,100,23.02,CA,Mon Oct 16 20:29:01 2023
76,alo,7.4178,6.7371,73.65,99,100,3.69,NG,Mon Oct 16 20:31:58 2023
77,lukolela,-1.0605,17.1821,69.91,98,38,1.68,CD,Mon Oct 16 20:31:58 2023
78,qamdo,31.1667,97.2333,37.58,47,100,5.1,CN,Mon Oct 16 20:31:58 2023
79,avarua,-21.2078,-159.775,73.45,64,75,12.66,CK,Mon Oct 16 20:31:59 2023
80,sao jose da coroa grande,-8.8978,-35.1478,75.36,80,69,12.66,BR,Mon Oct 16 20:31:59 2023
81,klyuchi,52.2667,79.1667,49.1,70,100,8.52,RU,Mon Oct 16 20:31:59 2023
82,mount gambier,-37.8333,140.7667,63.57,43,0,2.84,AU,Mon Oct 16 20:31:16 2023
83,stanley,54.868,-1.6985,30.22,100,0,3.44,GB,Mon Oct 16 20:32:00 2023
84,iskateley,67.6803,53.1512,34.02,89,75,8.99,RU,Mon Oct 16 20:32:00 2023
85,murmuiza,57.4833,25.4833,35.22,87,19,6.53,LV,Mon Oct 16 20:32:01 2023
86,invercargill,-46.4,168.35,51.03,62,57,14.0,NZ,Mon Oct 16 20:32:01 2023
87,ust-nera,64.5667,143.2,3.22,94,50,3.0,RU,Mon Oct 16 20:32:02 2023
88,khadan khak,30.7477,67.7085,47.71,46,0,6.58,PK,Mon Oct 16 20:32:02 2023
89,weno,7.4515,151.8468,85.95,74,40,0.0,FM,Mon Oct 16 20:32:02 2023
90,hawaiian paradise park,19.5933,-154.9731,80.83,76,100,12.66,US,Mon Oct 16 20:32:03 2023
91,wailua homesteads,22.0669,-159.378,80.02,76,20,10.36,US,Mon Oct 16 20:32:03 2023
92,nemuro,43.3236,145.575,52.92,53,17,21.43,JP,Mon Oct 16 20:32:04 2023
93,mana,5.6592,-53.7767,80.42,86,67,8.05,GF,Mon Oct 16 20:32:04 2023
94,ericeira,38.9627,-9.4156,72.07,88,11,29.55,PT,Mon Oct 16 20:32:04 2023
95,taksimo,56.3444,114.8794,33.71,82,100,1.99,RU,Mon Oct 16 20:32:05 2023
96,nema,57.5067,50.5011,47.62,61,100,13.65,RU,Mon Oct 16 20:32:05 2023
